Kingdom,Phylum,Class,Order,Family,Genus,Species,SpeciesAuthor,Subspecies,SubspeciesAuthor,isAccepted,AcceptedGenus,AcceptedSpecies,AcceptedSpeciesAuthor,AcceptedSubspecies,AcceptedSubspeciesAuthor
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,,,,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,graeca,"Linnaeus, 1758",graeca,"Linnaeus, 1758",Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,graeca,"Linnaeus, 1758",ibera,"Pallas, 1814",Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,graeca,"Linnaeus, 1758",,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,hermanni,"Gmelin, 1789",,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,horsfieldii,"Gray, 1844",,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,kleinmanni,"Lortet, 1883",,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Trionychidae,Apalone,spinifera,"(Lesueur, 1827) ",,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Trionychidae,Cyclanorbis,senegalensis,"(Duméril & Bibron, 1835) ",,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Trionychidae,Lissemys,ceylonensis,"(Gray, 1856) ",,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Trionychidae,Lissemys,punctata,"(Bonnaterre, 1789)",vittata,"(Peters, 1854)",Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Trionychidae,Lissemys,scutata,"(Peters, 1868) ",,,Yes,,,,,
Animalia,Chordata,Reptilia,Testudines,Trionychidae,Pelodiscus,sinensis,"Wiegmann, 1835",,,Yes,,,,,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Arthroleptis,reichei,"Smith, 1849",,,No,Arthroleptis,reichei,"Nieden, 1911",,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Arthroleptis,stenodactylus,"Smith, 1849",,,No,Arthroleptis,stenodactylus,"Pfeffer, 1893",,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Arthroleptis,xenodactyloides,"Smith, 1849",,,No,Arthroleptis,xenodactyloides,"Hewitt, 1933",,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Gampsosteonyx,batesi,"Boulenger, 1900",,,No,Astylosternus,batesi,"(Boulenger, 19) ",,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Leptopelis,barbouri,"Ahl, 1929",,,No,Leptopelis,grandiceps,"Ahl, 1929",,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Leptopelis,parkeri,"Günther, 1859",,,No,Leptopelis,parkeri,"Barbour & Loveridge, 1928",,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Leptopelis,uluguruensis,"Günther, 1859",,,No,Leptopelis,uluguruensis,"Barbour & Loveridge, 1928",,
Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Trichobatrachus,robustus,"Boulenger, 1900",,,No,Astylosternus,robustus,"(Boulenger, 19) ",,
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,luristanicus,"Schmidt, 1952",,,No,Bufotes,luristanicus,"(Schmidt, 1952) ",,
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,melanostictus,"Schneider, 1799",,,No,Duttaphrynus,melanostictus,"(Schneider, 1799) ",,
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,perreti,"Schiøtz, 1963",,,No,Sclerophrys,perreti,"(Schiøtz, 1963) ",,
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,regularis,"Reuss, 1833",,,No,Sclerophrys,regularis,"(Reuss, 1833) ",,
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,stomaticus,"Lütken, 1864",,,No,Duttaphrynus,stomaticus,"(Lütken, 1864) ",,
